日期,供应商,模型,请求数,输入Tokens,输出Tokens,缓存读Tokens,缓存写Tokens,总量Tokens,估算成本(元)
2026-08-28,builtin:zai-start-plan,GLM-5.3,1,29460,419,26688,0,29879,
2026-08-28,builtin:zai-start-plan,GLM-5.3-Flash,1,29275,445,26496,0,29720,
2026-08-29,builtin:zai-start-plan,GLM-5.3-Flash,464,54840928,464911,53229760,0,55305839,
2026-08-30,builtin:zai-start-plan,GLM-5.3-Flash,390,42204163,471573,40382016,0,42675736,
2026-08-31,builtin:zai-start-plan,GLM-5.3,16,2385739,201965,1887680,0,2587704,
2026-08-31,builtin:zai-start-plan,GLM-5.3-Flash,45,10313621,50385,9849344,0,10364006,
2026-08-31,c528fecb-c921-43e8-bcb2-60732eba12cd,glm-5.3-flash[1m],453,67260763,446914,64330880,0,67707677,
2026-08-31,c528fecb-c921-43e8-bcb2-60732eba12cd,glm-5.3[1m],4,91559,1156,86592,0,92715,
2026-09-01,c528fecb-c921-43e8-bcb2-60732eba12cd,glm-5.3-flash[1m],263,35047301,329553,33182656,0,35376854,
2026-09-02,builtin:zai-start-plan,GLM-5.3-Flash,31,1685912,8840,1608064,0,1694752,
2026-09-02,c528fecb-c921-43e8-bcb2-60732eba12cd,glm-5.3-flash[1m],441,80622280,448271,75543680,0,81070551,
2026-09-03,builtin:zai-start-plan,GLM-5.3-Flash,205,17233324,163868,16225408,0,17397192,
2026-09-03,c528fecb-c921-43e8-bcb2-60732eba12cd,glm-5.3-flash[1m],212,50206599,279280,47514560,0,50485879,
2026-09-04,c528fecb-c921-43e8-bcb2-60732eba12cd,glm-5.3-flash[1m],180,35122321,237493,33171008,0,35359814,
